,0
0,"Experiment ,Virus ,Cell,MOI,hpi,Titer"
1,"EXP I,C159S,OFTu,0.1,0,4.75"
2,"EXP I,C159S,OFTu,0.1,6,2.75"
3,"EXP I,C159S,OFTu,0.1,12,2.75"
4,"EXP I,C159S,OFTu,0.1,24,5"
5,"EXP I,C159S,OFTu,0.1,48,5.5"
6,"EXP I,C159S,OFTu,0.1,72,7"
7,"EXP I,C159S,STU,0.1,0,4.75"
8,"EXP I,C159S,STU,0.1,6,3.75"
9,"EXP I,C159S,STU,0.1,12,4"
10,"EXP I,C159S,STU,0.1,24,3.75"
11,"EXP I,C159S,STU,0.1,48,3.25"
12,"EXP I,C159S,STU,0.1,72,3.25"
13,"EXP I,C159S,OFTu,10,0,6.5"
14,"EXP I,C159S,OFTu,10,6,4.75"
15,"EXP I,C159S,OFTu,10,12,4.75"
16,"EXP I,C159S,OFTu,10,24,6.25"
17,"EXP I,C159S,OFTu,10,48,6.5"
18,"EXP I,C159S,OFTu,10,72,7"
19,"EXP I,C159S,STU,10,0,7"
20,"EXP I,C159S,STU,10,6,4.75"
21,"EXP I,C159S,STU,10,12,4.75"
22,"EXP I,C159S,STU,10,24,4.25"
23,"EXP I,C159S,STU,10,48,5"
24,"EXP I,C159S,STU,10,72,5"
25,"EXP II,C159S,OFTu,0.1,0,4"
26,"EXP II,C159S,OFTu,0.1,6,3"
27,"EXP II,C159S,OFTu,0.1,12,3"
28,"EXP II,C159S,OFTu,0.1,24,5.25"
29,"EXP II,C159S,OFTu,0.1,48,5.5"
30,"EXP II,C159S,OFTu,0.1,72,7"
31,"EXP II,C159S,STU,0.1,0,5"
32,"EXP II,C159S,STU,0.1,6,3.25"
33,"EXP II,C159S,STU,0.1,12,3.25"
34,"EXP II,C159S,STU,0.1,24,3.25"
35,"EXP II,C159S,STU,0.1,48,4"
36,"EXP II,C159S,STU,0.1,72,4.25"
37,"EXP II,C159S,OFTu,10,0,7.5"
38,"EXP II,C159S,OFTu,10,6,4.75"
39,"EXP II,C159S,OFTu,10,12,4.5"
40,"EXP II,C159S,OFTu,10,24,6"
41,"EXP II,C159S,OFTu,10,48,6.5"
42,"EXP II,C159S,OFTu,10,72,7"
43,"EXP II,C159S,STU,10,0,7.25"
44,"EXP II,C159S,STU,10,6,5"
45,"EXP II,C159S,STU,10,12,5"
46,"EXP II,C159S,STU,10,24,4.75"
47,"EXP II,C159S,STU,10,48,5.75"
48,"EXP II,C159S,STU,10,72,5"
49,"EXP III,C159S,OFTu,0.1,0,5"
50,"EXP III,C159S,OFTu,0.1,6,3.25"
51,"EXP III,C159S,OFTu,0.1,12,3"
52,"EXP III,C159S,OFTu,0.1,24,5.25"
53,"EXP III,C159S,OFTu,0.1,48,7"
54,"EXP III,C159S,OFTu,0.1,72,6.5"
55,"EXP III,C159S,STU,0.1,0,4.5"
56,"EXP III,C159S,STU,0.1,6,3.25"
57,"EXP III,C159S,STU,0.1,12,4.25"
58,"EXP III,C159S,STU,0.1,24,2.75"
59,"EXP III,C159S,STU,0.1,48,3.75"
60,"EXP III,C159S,STU,0.1,72,3.75"
61,"EXP III,C159S,OFTu,10,0,7"
62,"EXP III,C159S,OFTu,10,6,5"
63,"EXP III,C159S,OFTu,10,12,4.5"
64,"EXP III,C159S,OFTu,10,24,6.25"
65,"EXP III,C159S,OFTu,10,48,7"
66,"EXP III,C159S,OFTu,10,72,7.25"
67,"EXP III,C159S,STU,10,0,6.5"
68,"EXP III,C159S,STU,10,6,5"
69,"EXP III,C159S,STU,10,12,5"
70,"EXP III,C159S,STU,10,24,5"
71,"EXP III,C159S,STU,10,48,5"
72,"EXP III,C159S,STU,10,72,5"
